",","2","4","3"
"1","torres-ochoa.net","Anne Bell","001-230-263-0772x325"
"1","harmon.com","Jessica Martinez","499-625-6908"
"1","clark-hooper.org","Debbie Mccann","0370026087"
"0","black.com","Julia Porter","(603)720-7995x503"
"1","hayes.com","Hannah Beard","344-920-3570x85643"
"1","smith.com","Fernando Davis","928.941.5352x1441"
"0","ortiz.com","Mr. Matthew Jones","(392)187-0322x325"
"0","spencer-hart.com","Sydney Castillo","664.026.9041"
"1","ortiz.biz","Jose Fisher","742.809.7533x5204"
"0","johnson.com","Heather Wheeler","+1-917-284-2795x6616"
